Stock,Industry,Ticker
SEGRO,Industrial,SGRO.L
Land Securities Properties Limited ,Diversified,LAND.L
British Land,Diversified,BLND.L
Unite Group Plc,Student,UTG.L
Derwent London Plc,Office,DLN.L
Tritax Big Box REIT Plc,Industrial,BBOX.L
LondonMetric Property Plc,Industrial,LMP.L
Assura plc,Heathcare,AGR.L
Big Yellow Group Plc,Self Storage,BYG.L
Primary Health Properties,Heathcare,PHP.L
Grainger Plc,Residential,GRI.L
Shaftesbury Plc,Retail,SHB.L
Safestore Ltd.,Self Storage,SAFE.L
Great Portland Estates Plc,Office,GPOR.L
Workspace Group Plc,Office,WKP.L
Capital & Counties Properties PLC,Retail,CAPC.L
Sirius Real Estate Limited,Diversified,SRE.L
CLS Holdings Plc,Office,CLI.L
UK Commercial Property REIT,Industrial,UKCM.L
Hammerson Plc,Retail,HMSO.L
GCP Student Living plc ,Student,DIGS.L
LXI REIT PLC,Diversified,LXI.L
BMO Commercial Property Trust Limited,Diversified,BCPT.L
Target Healthcare REIT Limited,Heathcare,THRL.L
Helical plc.,Office,HLCL.L
Tritax Eurobox PLC,Industrial,BOXE.L
Picton Property Income Limited,Diversified,PCTN.L
ESP Empiric Student Property,Student,ESP.L
Supermarket Income REIT,Retail,SUPR.L
Stenprop,Industrial,STP.L
FTSE100,Index,^FTSE
FTSE350,Index,^FTLC
iShares UK Property,ETF,IUKP.L